CUSIP NO,ISSUER NAME,ISSUER DESCRIPTION,STATUS
3,* EURONAV NV,SHS,
4,EURONAV NV,CALL,
5,EURONAV NV,PUT,
6,NYXOAH S A,SHS,
7,* AGRIFORCE GROWING SYSTEMS LT,COM,
8,AGRIFORCE GROWING SYSTEMS LT,CALL,
9,AGRIFORCE GROWING SYSTEMS LT,PUT,
10,AGRIFORCE GROWING SYSTEMS LT,*W EXP 02/01/202,
11,VISION MARINE TECHNOLOGIES I,COM,
12,* DEUTSCHE BANK A G,NAMEN AKT,
13,DEUTSCHE BANK A G,CALL,
14,DEUTSCHE BANK A G,PUT,
15,* CONSTELLIUM SE,CL A SHS,
16,CONSTELLIUM SE,CALL,
17,CONSTELLIUM SE,PUT,
18,AIB ACQUISITION CORPORATION,CLASS A ORD,
19,AIB ACQUISITION CORPORATION,RIGHT 10/31/2028,
20,AIB ACQUISITION CORPORATION,UNIT 12/15/2026,
21,ACE GLOBAL BUSINESS ACQU LTD,ORDINARY SHARES,
22,ACE GLOBAL BUSINESS ACQU LTD,*W EXP 02/20/202,
23,ACE GLOBAL BUSINESS ACQU LTD,UNIT 03/26/2026,
24,* ADIENT PLC,ORD SHS,
25,ADIENT PLC,CALL,
26,ADIENT PLC,PUT,
27,ADS TEC ENERGY PLC,*W EXP 12/22/202,
28,ADS TEC ENERGY PLC,SHS,
29,AFTERNEXT HEALTHTECH ACQUISI,SHS CL A,DELETED
30,AFTERNEXT HEALTHTECH ACQUISI,UNIT 99/99/9999,DELETED
31,AFTERNEXT HEALTHTECH ACQUISI,*W EXP 99/99/999,DELETED
32,AFRICAN GOLD ACQUISITION COR,SHS CL A,DELETED
33,AFRICAN GOLD ACQUISITION COR,UNIT 99/99/9999,DELETED
34,* AFYA LTD,CL A COM,
35,AFYA LTD,CALL,
36,AFYA LTD,PUT,
3,AGBA GROUP HOLDING LTD,SHS,
4,AGBA GROUP HOLDING LTD,*W EXP 03/15/202,
5,AGM GROUP HOLDINGS INC,SHS CL A,
6,AIMFINITY INVESTMENT CORP I,UNIT 02/01/2029,
7,AIMFINITY INVESTMENT CORP I,*W EXP 04/21/202,
8,AIMFINITY INVESTMENT CORP I,UNIT 04/21/2027,
9,* ALLEGION PLC,ORD SHS,
10,ALLEGION PLC,CALL,
11,ALLEGION PLC,PUT,
12,* ALKERMES PLC,SHS,
13,ALKERMES PLC,CALL,
14,ALKERMES PLC,PUT,
15,ALPHATIME ACQUISITION CORP,ORDINARY SHARES,
16,ALPHATIME ACQUISITION CORP,UNIT 03/01/2028,
17,ALPHATIME ACQUISITION CORP,*W EXP 03/01/202,
18,ALPHATIME ACQUISITION CORP,RIGHT 03/01/2028,
19,ALPHA STAR ACQUISITION CORP,ORDINARY SHARES,
20,ALPHA STAR ACQUISITION CORP,*W EXP 12/13/202,
21,ALPHA STAR ACQUISITION CORP,UNIT 12/13/2026,
22,ALPHA STAR ACQUISITION CORP,RIGHT 05/30/2023,
23,ALSP ORCHID ACQUISITION CORP,CLASS A ORD,
24,ALSP ORCHID ACQUISITION CORP,UNIT 11/30/2028,
25,ALSP ORCHID ACQUISITION CORP,*W EXP 11/30/202,
